<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
GBPUSD,20050222,00:00:00,1.8959,1.8951,1.9134,1.9102
GBPUSD,20050223,00:00:00,1.9102,1.9040,1.9127,1.9073
GBPUSD,20050224,00:00:00,1.9073,1.9015,1.9138,1.9087
GBPUSD,20050225,00:00:00,1.9087,1.9064,1.9194,1.9184
GBPUSD,20050228,00:00:00,1.9169,1.9162,1.9257,1.9200
GBPUSD,20050301,00:00:00,1.9199,1.9170,1.9225,1.9201
GBPUSD,20050302,00:00:00,1.9202,1.9079,1.9206,1.9132
GBPUSD,20050303,00:00:00,1.9131,1.9057,1.9135,1.9065
GBPUSD,20050304,00:00:00,1.9065,1.9051,1.9269,1.9233
GBPUSD,20050307,00:00:00,1.9228,1.9114,1.9247,1.9150
GBPUSD,20050308,00:00:00,1.9149,1.9127,1.9324,1.9297
GBPUSD,20050309,00:00:00,1.9295,1.9198,1.9317,1.9243
GBPUSD,20050310,00:00:00,1.9243,1.9203,1.9304,1.9216
GBPUSD,20050311,00:00:00,1.9216,1.9163,1.9286,1.9235
GBPUSD,20050314,00:00:00,1.9262,1.9098,1.9274,1.9131
GBPUSD,20050315,00:00:00,1.9130,1.9111,1.9252,1.9126
GBPUSD,20050316,00:00:00,1.9125,1.9111,1.9289,1.9272
GBPUSD,20050317,00:00:00,1.9271,1.9182,1.9281,1.9250
GBPUSD,20050318,00:00:00,1.9248,1.9124,1.9249,1.9202
GBPUSD,20050321,00:00:00,1.9196,1.8943,1.9198,1.8966
GBPUSD,20050322,00:00:00,1.8966,1.8799,1.9012,1.8856
GBPUSD,20050323,00:00:00,1.8856,1.8660,1.8882,1.8691
GBPUSD,20050324,00:00:00,1.8691,1.8670,1.8736,1.8692
GBPUSD,20050325,00:00:00,1.8690,1.8675,1.8719,1.8696
GBPUSD,20050328,00:00:00,1.8701,1.8592,1.8703,1.8664
GBPUSD,20050329,00:00:00,1.8665,1.8651,1.8763,1.8738
GBPUSD,20050330,00:00:00,1.8738,1.8737,1.8845,1.8783
GBPUSD,20050331,00:00:00,1.8782,1.8753,1.8917,1.8901
